State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income
5,77,AR,Lee County,2527,36.8,670,45.4,474,45.1,32502
5,79,AR,Lincoln County,2223,23.6,484,23.2,340,22.6,47903
5,81,AR,Little River County,1943,16.2,649,24.4,440,22.8,47125
5,83,AR,Logan County,3308,15.8,963,22.2,688,22.1,43577
5,85,AR,Lonoke County,7974,10.9,2582,14.2,1628,11.9,59623
5,87,AR,Madison County,2797,16.9,938,25.2,659,24.4,45144
5,89,AR,Marion County,3165,19.1,854,27.6,585,25.5,39888
5,91,AR,Miller County,8050,19.2,2400,24.4,1656,23.1,43634
5,93,AR,Mississippi County,8235,21.0,2867,28.0,1936,26.3,47892
5,95,AR,Monroe County,1543,23.8,514,36.5,354,36.8,35833
5,97,AR,Montgomery County,1666,18.8,460,28.3,321,27.2,42751
5,99,AR,Nevada County,1512,19.1,497,27.8,337,25.5,41854
5,101,AR,Newton County,1406,18.7,426,29.8,295,27.6,40698
5,103,AR,Ouachita County,4669,20.5,1396,27.9,969,25.9,46374
5,105,AR,Perry County,1506,14.7,494,22.7,348,21.5,46317
5,107,AR,Phillips County,3767,22.1,1634,37.0,1140,36.6,35167
5,109,AR,Pike County,1932,18.6,552,24.6,389,23.1,43133
5,111,AR,Poinsett County,4857,21.2,1572,28.9,1065,27.1,36150
5,113,AR,Polk County,3538,18.1,1214,28.1,854,25.8,42915
5,115,AR,Pope County,8552,14.1,2508,17.6,1723,16.6,46350
5,117,AR,Prairie County,1137,14.5,392,24.4,281,24.0,48478
5,119,AR,Pulaski County,59031,15.3,20032,22.5,12752,19.9,56171
5,121,AR,Randolph County,2912,16.3,997,23.5,672,22.4,46495
5,123,AR,St. Francis County,6199,30.1,2001,39.6,1398,39.3,37759
5,125,AR,Saline County,10057,8.2,3031,10.8,2180,10.3,70550
5,127,AR,Scott County,1756,17.5,623,27.1,421,25.1,41230
5,129,AR,Searcy County,1732,22.3,529,34.9,372,32.8,33814
5,131,AR,Sebastian County,21137,16.8,7106,24.0,4790,22.3,48627
5,133,AR,Sevier County,2755,16.7,1142,24.5,774,22.3,45838
5,135,AR,Sharp County,3110,18.1,999,28.7,717,28.0,40437
5,137,AR,Stone County,2513,20.1,695,29.1,509,29.0,36148
5,139,AR,Union County,6381,16.9,1959,21.8,1304,19.7,47857
5,141,AR,Van Buren County,2674,16.4,695,22.6,508,21.7,42345
5,143,AR,Washington County,30994,13.2,8392,14.7,5424,13.1,57712
5,145,AR,White County,11176,14.8,3400,19.1,2351,17.6,43765
5,147,AR,Woodruff County,1386,22.6,434,33.1,306,33.1,37634
5,149,AR,Yell County,2971,14.3,1073,21.6,741,20.1,48728
6,0,CA,California,4419167,11.5,1260145,14.6,898424,14.2,83001
6,1,CA,Alameda County,139636,8.6,29982,9.1,21299,8.9,113518
6,3,CA,Alpine County,159,14.3,51,24.5,32,20.0,64542
6,5,CA,Amador County,3678,10.3,769,13.0,546,12.6,68141
6,7,CA,Butte County,35963,17.3,7852,18.7,5817,19.0,54718
6,9,CA,Calaveras County,5310,11.6,1213,16.1,858,15.5,66329
6,11,CA,Colusa County,2200,10.3,733,12.9,529,12.4,59422
6,13,CA,Contra Costa County,82136,7.2,19800,7.9,13608,7.2,106484
6,15,CA,Del Norte County,4604,18.5,1313,23.4,914,21.8,47442
6,17,CA,El Dorado County,15992,8.4,3259,8.8,2160,7.6,87792
6,19,CA,Fresno County,168153,17.1,63763,23.1,44236,21.7,61401
6,21,CA,Glenn County,3470,12.4,1278,17.2,885,16.1,57779
6,23,CA,Humboldt County,20847,15.8,4664,18.8,3061,17.2,56071
6,25,CA,Imperial County,31134,18.1,12611,24.9,9014,24.3,47599
6,27,CA,Inyo County,1940,10.9,535,14.6,372,13.8,55981
6,29,CA,Kern County,159609,18.3,62402,24.6,47088,25.1,58583
6,31,CA,Kings County,19874,14.5,7179,17.8,4768,16.3,60319
6,33,CA,Lake County,10131,15.9,2980,22.2,2132,22.3,52345
6,35,CA,Lassen County,3555,15.5,820,15.7,561,15.0,63803
6,37,CA,Los Angeles County,1289368,13.2,352512,17.2,255877,16.9,75624
6,39,CA,Madera County,21211,14.1,7920,18.8,5589,17.9,68744
6,41,CA,Marin County,15119,6.0,2848,5.8,1865,4.9,127601
6,43,CA,Mariposa County,2258,13.3,509,18.5,365,18.1,56887
6,45,CA,Mendocino County,12099,14.3,3341,18.9,2305,17.9,53176
6,47,CA,Merced County,44302,16.3,18095,22.8,13025,22.1,58998
6,49,CA,Modoc County,1529,17.9,459,28.1,321,26.6,46838
6,51,CA,Mono County,1285,9.0,239,9.6,165,9.0,73204
6,53,CA,Monterey County,47870,11.6,16255,15.0,11683,14.6,85031
6,55,CA,Napa County,10356,7.9,2310,8.7,1653,8.2,92149
6,57,CA,Nevada County,9040,9.2,1805,11.0,1304,10.7,74158
6,59,CA,Orange County,280128,9.0,68641,10.3,46800,9.6,98786
6,61,CA,Placer County,25815,6.5,5433,6.2,4145,6.2,100662
6,63,CA,Plumas County,2509,13.5,592,18.3,402,17.2,58489
6,65,CA,Riverside County,275176,11.2,86711,14.5,62519,13.9,76409
6,67,CA,Sacramento County,192386,12.5,59812,16.8,42634,16.4,72953
6,69,CA,San Benito County,5025,7.9,1490,9.3,1098,9.2,91185
6,71,CA,San Bernardino County,308021,14.3,109552,19.7,76226,18.6,65984
6,73,CA,San Diego County,306807,9.5,76512,11.0,52440,10.5,87126
6,75,CA,San Francisco County,85356,10.0,10658,9.4,7367,9.7,121722
6,77,CA,San Joaquin County,104295,13.9,34931,17.4,26055,17.5,70685
6,79,CA,San Luis Obispo County,28338,10.6,4411,9.2,3129,8.8,79455
6,81,CA,San Mateo County,41158,5.5,8242,5.6,5649,5.3,132369
6,83,CA,Santa Barbara County,44777,10.5,12041,12.6,8338,12.1,86136
6,85,CA,Santa Clara County,123516,6.6,25805,6.5,18923,6.5,139462
6,87,CA,Santa Cruz County,27524,10.7,5238,10.6,3772,10.2,93015
6,89,CA,Shasta County,24570,13.9,6860,18.3,4393,16.1,59108
6,91,CA,Sierra County,331,11.5,65,13.5,46,13.3,59422
6,93,CA,Siskiyou County,6086,14.3,1731,20.2,1227,19.2,49441
6,95,CA,Solano County,40283,9.3,10355,10.8,7043,10.1,83678
6,97,CA,Sonoma County,37609,7.8,7884,8.6,5155,7.5,87366
6,99,CA,Stanislaus County,70568,13.0,24827,17.1,17481,16.3,64501
6,101,CA,Sutter County,10984,11.5,3907,16.2,2814,15.8,65791
6,103,CA,Tehama County,8467,13.3,2572,17.2,1897,17.1,61571
6,105,CA,Trinity County,2162,18.0,546,26.4,376,25.0,45113
6,107,CA,Tulare County,79348,17.1,32114,23.0,23203,22.2,62058
6,109,CA,Tuolumne County,6158,12.1,1195,13.4,824,12.6,63336
6,111,CA,Ventura County,75060,9.1,21340,11.7,16275,11.8,90961
6,113,CA,Yolo County,31066,14.8,5031,11.3,3316,10.0,80668
6,115,CA,Yuba County,12816,16.3,4149,19.2,2845,18.4,56278
8,0,CO,Colorado,511346,9.0,129839,10.6,89390,9.8,77688
8,1,CO,Adams County,48180,9.4,15835,12.1,10686,11.0,73615
8,3,CO,Alamosa County,2563,16.7,800,20.9,560,19.6,50390
8,5,CO,Arapahoe County,45760,7.0,12360,8.4,8204,7.5,82381
8,7,CO,Archuleta County,1319,9.4,396,16.2,311,16.5,63961
8,9,CO,Baca County,585,16.9,181,24.0,124,21.9,42531
8,11,CO,Bent County,1033,26.6,221,27.2,169,27.7,50688
8,13,CO,Boulder County,30205,9.5,3712,6.3,2578,5.6,88289
8,14,CO,Broomfield County,2983,4.2,634,4.1,453,3.8,106263
8,15,CO,Chaffee County,1844,9.6,339,11.2,238,10.5,64220
8,17,CO,Cheyenne County,214,12.3,75,18.1,55,17.1,56383
8,19,CO,Clear Creek County,695,7.3,128,9.3,88,8.8,79422
8,21,CO,Conejos County,1422,17.6,448,22.4,319,20.8,39822
8,23,CO,Costilla County,854,21.8,240,32.2,171,30.5,35639
8,25,CO,Crowley County,1118,37.2,194,29.5,135,26.2,36836
8,27,CO,Custer County,611,12.2,162,23.2,117,22.6,60485
8,29,CO,Delta County,3690,12.1,917,15.4,624,13.7,53553
8,31,CO,Denver County,89598,12.4,23256,17.3,16771,17.8,75355
8,33,CO,Dolores County,262,12.5,60,15.3,42,13.2,50821
8,35,CO,Douglas County,10942,3.0,2239,2.6,1548,2.3,122290
8,37,CO,Eagle County,3517,6.4,822,7.2,540,6.2,94309
8,39,CO,Elbert County,1304,4.8,381,6.8,264,6.0,107139
8,41,CO,El Paso County,64656,9.1,19075,11.4,12888,10.5,72459
8,43,CO,Fremont County,6083,15.2,1318,17.7,959,17.3,52414
8,45,CO,Garfield County,3965,6.7,1395,9.4,910,8.4,79958
8,47,CO,Gilpin County,408,6.6,68,7.8,37,5.4,79622
8,49,CO,Grand County,1071,6.8,226,9.0,158,8.1,74484
8,51,CO,Gunnison County,1595,9.6,246,8.8,162,7.6,68214
8,53,CO,Hinsdale County,58,7.2,22,18.8,16,19.3,63034
8,55,CO,Huerfano County,1337,19.9,350,32.3,240,28.5,49502
8,57,CO,Jackson County,161,11.6,40,16.7,28,16.6,55430
8,59,CO,Jefferson County,34963,6.1,7224,6.6,5002,6.2,90097
8,61,CO,Kiowa County,173,12.0,55,15.9,37,16.0,49179
8,63,CO,Kit Carson County,764,10.8,278,15.5,201,14.6,54642
8,65,CO,Lake County,831,10.6,226,14.1,149,13.0,61518
8,67,CO,La Plata County,5447,10.0,1238,12.2,857,11.2,66080
8,69,CO,Larimer County,34579,9.9,5121,7.6,3308,6.5,80344
8,71,CO,Las Animas County,2245,16.4,593,23.4,414,21.6,46281
8,73,CO,Lincoln County,727,15.6,202,18.3,145,18.0,50169
8,75,CO,Logan County,2420,13.1,563,14.7,401,14.5,55717
8,77,CO,Mesa County,16752,11.1,4329,13.6,2940,12.5,64141
8,79,CO,Mineral County,67,8.7,16,15.0,12,16.0,58004
8,81,CO,Moffat County,1290,9.9,390,12.1,253,10.5,63128
8,83,CO,Montezuma County,3374,12.9,1097,20.0,785,18.7,54053
8,85,CO,Montrose County,4477,10.4,1335,15.1,937,14.0,59764
8,87,CO,Morgan County,2969,10.5,911,12.4,652,12.3,63297
8,89,CO,Otero County,3116,17.6,1030,24.7,705,22.6,46235
8,91,CO,Ouray County,333,6.7,57,8.0,40,7.1,74492
8,93,CO,Park County,1476,7.8,313,11.3,209,9.8,77598
8,95,CO,Phillips County,440,10.2,162,14.9,117,14.3,57385
8,97,CO,Pitkin County,1136,6.4,136,5.2,95,4.9,93634
8,99,CO,Prowers County,1910,16.2,672,21.7,458,20.1,47463
8,101,CO,Pueblo County,23367,14.1,6581,17.9,4439,16.1,50885
8,103,CO,Rio Blanco County,597,9.8,164,10.9,119,10.3,64039
8,105,CO,Rio Grande County,1475,13.3,480,19.7,357,19.6,51416
8,107,CO,Routt County,1595,6.3,273,6.2,195,5.9,82330
8,109,CO,Saguache County,1284,18.6,391,29.1,242,23.5,56012
8,111,CO,San Juan County,84,11.3,15,17.0,11,16.9,54387
8,113,CO,San Miguel County,611,7.6,106,7.9,75,7.3,77099
8,115,CO,Sedgwick County,294,13.2,93,22.1,69,21.8,43354
8,117,CO,Summit County,1866,6.1,306,6.4,193,5.6,91079
8,119,CO,Teller County,1856,7.3,491,11.7,358,10.9,62845
8,121,CO,Washington County,551,11.8,188,17.6,134,16.6,59174
8,123,CO,Weld County,29123,8.9,8220,9.8,5786,9.4,77937
8,125,CO,Yuma County,1124,11.5,438,16.1,300,15.0,82124
9,0,CT,Connecticut,333435,9.7,83935,11.8,60753,11.5,79723
9,1,CT,Fairfield County,81309,8.8,22049,10.8,17115,11.1,98828
9,3,CT,Hartford County,92518,10.7,24723,13.6,17516,13.0,73476
9,5,CT,Litchfield County,13160,7.4,2545,8.2,1900,8.0,79512
9,7,CT,Middlesex County,12020,7.7,1738,6.5,1232,6.0,89970
9,9,CT,New Haven County,92869,11.2,23263,13.9,16091,13.0,72517
9,11,CT,New London County,20478,8.0,5431,10.9,3936,10.6,77202
9,13,CT,Tolland County,9362,6.9,1416,5.6,990,5.2,87247
9,15,CT,Windham County,11719,10.4,2770,12.5,1973,12.0,66349
10,0,DE,Delaware,104400,10.9,30380,15.1,20536,14.1,71335
10,1,DE,Kent County,23168,13.0,6726,16.4,4439,14.9,61538
10,3,DE,New Castle County,55026,10.1,16237,13.9,10858,12.7,75145
10,5,DE,Sussex County,26206,11.0,7417,17.4,5239,17.0,69829
11,0,DC,District of Columbia,101959,15.0,28420,22.3,19568,23.2,91957
11,1,DC,District of Columbia,101959,15.0,28420,22.3,19568,23.2,91957
12,0,FL,Florida,2642642,12.4,714847,17.2,504335,16.5,61724
12,1,FL,Alachua County,44315,17.2,7189,15.1,4877,14.2,51995
12,3,FL,Baker County,3416,12.8,1183,17.3,940,18.6,61514
12,5,FL,Bay County,20719,12.4,6824,20.0,4706,18.9,61332
12,7,FL,Bradford County,4242,17.5,1177,22.0,831,21.3,48260
12,9,FL,Brevard County,59282,9.9,14490,13.5,10560,13.1,65871
12,11,FL,Broward County,214119,11.0,56676,14.1,40561,13.8,63901
12,13,FL,Calhoun County,2512,20.3,787,28.7,546,26.0,43994
12,15,FL,Charlotte County,18781,9.8,3505,15.8,2438,14.5,58368
12,17,FL,Citrus County,18933,12.6,5029,23.1,3789,23.3,48574
12,19,FL,Clay County,19482,8.9,6467,12.9,4690,12.3,72520
12,21,FL,Collier County,39254,10.1,9469,14.9,6664,14.0,81895
12,23,FL,Columbia County,10444,15.6,3482,22.8,2439,21.8,46670
12,27,FL,DeSoto County,7387,20.8,1863,27.6,1300,26.9,45807
12,29,FL,Dixie County,3538,23.2,944,31.1,681,30.2,41450
12,31,FL,Duval County,143438,15.2,44840,21.1,33959,22.7,55202
12,33,FL,Escambia County,41047,13.5,13381,20.4,8747,18.7,57089
12,35,FL,Flagler County,11058,9.4,3101,16.3,2230,15.2,67054
12,37,FL,Franklin County,1998,19.1,563,30.8,387,28.9,47206
12,39,FL,Gadsden County,9356,21.9,3325,34.9,2262,32.5,42698
12,41,FL,Gilchrist County,2555,14.5,828,22.5,599,22.3,52000
12,43,FL,Glades County,2302,18.1,459,23.5,320,20.7,45328
12,45,FL,Gulf County,1977,15.1,615,25.2,420,23.0,51593
12,47,FL,Hamilton County,2846,24.2,915,34.5,637,33.8,41871
12,49,FL,Hardee County,5373,21.2,1888,28.0,1252,25.2,46264
12,51,FL,Hendry County,9651,22.9,3500,31.4,2551,31.5,45652
12,53,FL,Hernando County,24571,12.5,7131,20.1,4972,18.6,52108
12,55,FL,Highlands County,16905,16.1,4615,26.6,3259,25.3,48922
12,57,FL,Hillsborough County,175650,11.9,46039,14.3,33601,14.3,65272
12,59,FL,Holmes County,3651,20.5,1201,30.9,822,29.0,41969
12,61,FL,Indian River County,13959,8.7,3873,16.0,2883,16.2,72934
12,63,FL,Jackson County,7738,19.5,2480,29.5,1743,28.8,44108
12,65,FL,Jefferson County,2281,17.2,639,26.4,457,24.9,54354
12,67,FL,Lafayette County,1494,20.7,448,27.7,297,23.5,41635
12,69,FL,Lake County,34282,9.2,9745,14.0,6723,13.1,58501
12,71,FL,Lee County,81863,10.5,19579,14.7,13054,13.4,66140
12,73,FL,Leon County,49598,17.6,11832,22.0,7965,20.5,61403
12,75,FL,Levy County,7055,16.9,2172,27.2,1546,26.3,41894
12,77,FL,Liberty County,1342,21.2,331,24.7,245,25.0,46734
12,79,FL,Madison County,3969,23.8,990,30.1,714,29.8,41650
12,81,FL,Manatee County,44512,10.9,11448,16.2,8398,15.9,63328
12,83,FL,Marion County,55608,15.3,14650,21.7,9193,18.6,48553
12,85,FL,Martin County,17627,11.1,4391,17.3,3130,16.5,72736
12,86,FL,Miami-Dade County,399797,15.0,106575,19.9,70384,18.3,59259
12,87,FL,Monroe County,7404,10.2,1714,15.3,1181,14.8,68584
12,89,FL,Nassau County,7348,8.1,2042,11.6,1453,11.2,75123
12,91,FL,Okaloosa County,19813,9.6,6557,14.2,4361,13.2,65977
12,93,FL,Okeechobee County,6933,17.7,2103,24.7,1441,24.0,48028
12,95,FL,Orange County,174206,12.7,49796,16.7,35133,16.2,69074
12,97,FL,Osceola County,45150,11.8,15979,17.6,12148,18.0,63018
12,99,FL,Palm Beach County,178480,12.0,45103,16.2,31991,15.7,68200
12,101,FL,Pasco County,64340,11.4,18363,16.3,12663,15.1,52332
12,103,FL,Pinellas County,106309,11.1,23715,15.8,17116,15.5,61532
12,105,FL,Polk County,104836,14.4,35274,22.2,25812,22.0,54591
12,107,FL,Putnam County,17792,24.3,5099,33.0,3564,31.7,36527
12,109,FL,St. Johns County,22314,8.1,5477,9.3,3771,8.2,94343
12,111,FL,St. Lucie County,45996,13.8,13642,21.2,9684,20.2,59023
12,113,FL,Santa Rosa County,17152,9.4,4782,11.8,3425,11.3,71583
12,115,FL,Sarasota County,37949,8.7,8295,13.8,6200,13.6,66138
12,117,FL,Seminole County,37499,8.0,10085,10.4,7362,10.1,71930
12,119,FL,Sumter County,16128,12.3,3278,34.8,2236,32.0,60278
12,121,FL,Suwannee County,7489,17.7,2593,28.3,1834,27.3,46264
12,123,FL,Taylor County,3680,19.3,1077,25.8,774,25.7,45527
12,125,FL,Union County,2139,20.7,607,20.3,429,19.6,49313
12,127,FL,Volusia County,63322,11.6,13347,14.0,10330,14.8,55463
12,129,FL,Wakulla County,3204,10.3,1081,15.7,754,14.5,64671
12,131,FL,Walton County,8470,11.4,2745,18.0,1906,17.3,74108
12,133,FL,Washington County,4763,20.4,1448,28.7,995,26.6,44661
13,0,GA,Georgia,1465328,14.0,479569,19.5,341361,18.8,62800
13,1,GA,Appling County,3550,19.9,1311,29.9,934,29.0,44871
13,3,GA,Atkinson County,1801,21.6,725,33.8,503,32.4,39633
13,5,GA,Bacon County,2261,21.1,792,29.0,539,27.0,41756
13,7,GA,Baker County,701,23.7,214,39.5,157,40.6,43696
13,9,GA,Baldwin County,8910,22.6,2515,30.9,1827,29.9,49350
13,11,GA,Banks County,2245,11.6,697,17.2,479,15.9,62836
13,13,GA,Barrow County,8629,10.1,2816,13.0,2143,13.4,64460
13,15,GA,Bartow County,10991,10.2,3860,15.3,2697,14.5,64980
13,17,GA,Ben Hill County,3636,22.3,1310,32.7,918,31.0,39305
13,19,GA,Berrien County,3610,18.9,1201,26.6,857,25.8,45094
13,21,GA,Bibb County,40946,28.0,13448,37.4,9237,35.3,44467
13,23,GA,Bleckley County,2134,18.5,688,28.1,509,28.0,51448
13,25,GA,Brantley County,3386,17.8,1157,26.6,816,25.6,39256
13,27,GA,Brooks County,3140,20.6,1055,32.5,767,32.1,42973
13,29,GA,Bryan County,3249,8.0,1165,9.8,874,9.8,81890
13,31,GA,Bulloch County,15342,20.7,3640,23.1,2661,23.8,48629
13,33,GA,Burke County,4455,20.0,1787,31.6,1264,30.2,44870
13,35,GA,Butts County,4651,20.8,1881,37.0,1484,40.3,52720
13,37,GA,Calhoun County,1555,34.4,371,35.9,272,34.0,37984
13,39,GA,Camden County,5021,9.4,1692,12.9,1312,14.2,67525
13,43,GA,Candler County,2143,20.1,866,31.8,608,29.8,42583
13,45,GA,Carroll County,19693,16.8,6003,21.5,3852,19.1,64554
13,47,GA,Catoosa County,6796,10.1,2121,14.2,1500,13.1,61906
13,49,GA,Charlton County,2781,25.5,724,30.6,476,26.9,46061
13,51,GA,Chatham County,43011,15.6,14434,24.5,10093,24.2,56357
13,53,GA,Chattahoochee County,1222,15.6,343,14.7,234,15.9,51811
13,55,GA,Chattooga County,4431,18.8,1442,26.7,1013,25.8,44399
13,57,GA,Cherokee County,17630,6.7,5412,8.8,3910,8.4,90675
13,59,GA,Clarke County,28845,24.6,4924,23.1,3274,21.7,46693
13,61,GA,Clay County,675,24.1,247,43.3,179,43.4,35937
13,63,GA,Clayton County,48136,16.8,19630,25.0,13976,24.3,49370
13,65,GA,Clinch County,1326,20.4,483,29.9,337,28.4,43088
13,67,GA,Cobb County,69097,9.2,18288,10.6,12719,10.0,81517
13,69,GA,Coffee County,9184,23.1,3366,32.7,2384,32.2,44520
13,71,GA,Colquitt County,9078,20.4,3280,28.9,2327,27.7,41673
13,73,GA,Columbia County,10629,6.7,3398,8.5,2434,8.1,87489
13,75,GA,Cook County,3340,19.5,1274,29.8,882,27.5,35225
13,77,GA,Coweta County,12862,8.6,4142,11.8,2780,10.5,84121
13,79,GA,Crawford County,1941,16.1,606,25.1,438,23.5,48184
13,81,GA,Crisp County,5282,24.5,1822,36.0,1304,34.6,36871
13,83,GA,Dade County,1954,13.0,467,15.5,347,15.6,41069
13,85,GA,Dawson County,2332,8.7,670,12.6,467,12.1,75081
13,87,GA,Decatur County,6495,25.6,2328,36.8,1602,35.8,42996
13,89,GA,DeKalb County,118345,15.8,40458,23.8,31666,26.6,69545
13,91,GA,Dodge County,3980,21.4,1054,27.8,765,27.4,42683
13,93,GA,Dooly County,3040,27.0,741,35.2,510,32.2,45112
13,95,GA,Dougherty County,22686,27.4,7562,38.1,5403,37.9,40793
13,97,GA,Douglas County,16770,11.5,6065,16.5,4118,14.7,65269
13,99,GA,Early County,2371,24.0,883,36.2,624,34.8,39697
13,101,GA,Echols County,821,20.6,329,31.2,232,28.7,45378
13,103,GA,Effingham County,5293,8.1,1923,11.3,1393,10.9,77690
13,105,GA,Elbert County,4528,23.8,1583,38.0,1219,39.7,43553
13,107,GA,Emanuel County,5584,26.4,1892,34.3,1335,33.2,36243
13,109,GA,Evans County,2002,19.6,810,29.5,564,26.9,51018
13,111,GA,Fannin County,4111,15.6,1002,24.1,727,23.1,44730
13,113,GA,Fayette County,6079,5.3,1878,7.2,1390,6.6,98623
13,115,GA,Floyd County,17472,18.4,5747,26.2,4169,25.6,47423
13,117,GA,Forsyth County,12669,5.1,3565,5.4,2493,4.8,116690
13,119,GA,Franklin County,3708,16.3,1189,23.7,865,23.7,47706
13,121,GA,Fulton County,136220,13.0,39055,17.5,26104,15.9,71504
13,123,GA,Gilmer County,4437,14.0,1368,23.5,946,22.2,66066
13,125,GA,Glascock County,447,15.5,114,18.5,83,17.5,50800
13,127,GA,Glynn County,13107,15.5,4359,24.5,2886,22.0,59286
13,129,GA,Gordon County,6829,11.8,2035,15.0,1590,15.7,54915
13,131,GA,Grady County,4527,18.7,1631,27.4,1165,26.6,54601
13,133,GA,Greene County,2849,15.3,966,28.5,673,26.8,61857
13,135,GA,Gwinnett County,97747,10.4,33217,13.5,24690,13.2,73460
13,137,GA,Habersham County,5963,13.7,1684,16.8,1199,16.3,61071
13,139,GA,Hall County,25886,12.7,9686,19.6,6884,19.0,67735
13,141,GA,Hancock County,2202,30.7,516,41.2,380,39.3,36424
13,143,GA,Haralson County,4633,15.5,1437,20.0,942,18.0,51431
13,145,GA,Harris County,3195,9.0,847,11.1,620,10.5,81151
13,147,GA,Hart County,3711,14.4,1168,22.0,857,21.6,52401
13,149,GA,Heard County,1938,16.4,561,21.2,399,19.8,51532
13,151,GA,Henry County,20755,8.7,7796,13.1,5682,12.4,69620
13,153,GA,Houston County,17041,10.8,6298,15.6,4584,15.3,69442
13,155,GA,Irwin County,1720,20.9,586,30.9,421,30.4,47492
13,157,GA,Jackson County,6883,9.1,2149,11.4,1546,11.0,70960
13,159,GA,Jasper County,2015,14.0,716,21.6,527,20.8,57796
13,161,GA,Jeff Davis County,3003,20.0,1139,29.4,825,29.0,44417
13,163,GA,Jefferson County,3101,21.1,1165,33.1,806,31.7,40333
13,165,GA,Jenkins County,2111,28.0,614,35.7,428,34.4,38306
13,167,GA,Johnson County,2059,25.9,547,30.7,389,30.9,36358
13,169,GA,Jones County,3285,11.6,1072,16.6,776,15.6,64812
13,171,GA,Lamar County,2504,13.8,819,20.9,581,20.8,55024
13,173,GA,Lanier County,2046,19.6,808,31.9,554,30.0,35215
13,175,GA,Laurens County,9611,20.7,3557,31.0,2718,32.5,46690
13,177,GA,Lee County,2947,10.1,1149,14.7,842,14.1,74640
13,179,GA,Liberty County,8886,14.7,3907,22.6,2618,23.8,49788
13,181,GA,Lincoln County,1310,16.5,404,27.5,309,29.2,47883
13,183,GA,Long County,3303,16.7,1256,23.5,871,22.5,53841
13,185,GA,Lowndes County,22695,20.3,7651,27.3,5071,25.2,48864
13,187,GA,Lumpkin County,3896,12.5,927,16.2,675,16.1,63822
13,189,GA,McDuffie County,3490,16.7,1438,27.8,1130,29.5,48392
13,191,GA,McIntosh County,2847,19.9,698,32.0,499,30.9,48097
13,193,GA,Macon County,3362,31.1,870,38.0,614,37.1,35997
13,195,GA,Madison County,4366,14.5,1362,19.7,965,19.0,50619
13,197,GA,Marion County,1736,20.6,539,31.8,382,29.9,46792
13,199,GA,Meriwether County,4617,22.1,1441,33.3,945,30.1,45095
13,201,GA,Miller County,1091,19.8,367,29.0,263,28.5,51855
13,205,GA,Mitchell County,7426,38.2,2333,50.1,1620,46.3,38256
13,207,GA,Monroe County,3447,12.8,1007,17.9,743,17.5,65599
13,209,GA,Montgomery County,1577,19.3,455,26.0,324,25.2,47074
13,211,GA,Morgan County,2251,11.6,782,18.1,564,17.6,68343
13,213,GA,Murray County,6319,15.9,2212,23.3,1436,20.4,58761
13,215,GA,Muscogee County,40029,21.1,14183,29.8,9552,28.1,44959
13,217,GA,Newton County,15997,14.4,6098,21.4,4482,20.9,62183
13,219,GA,Oconee County,2468,6.0,724,6.8,505,5.9,104519
13,221,GA,Oglethorpe County,2022,13.4,639,20.6,466,20.2,55678
13,223,GA,Paulding County,12612,7.3,4324,9.9,3131,9.5,77755
13,225,GA,Peach County,5114,19.2,1633,28.6,1089,26.3,51531
13,227,GA,Pickens County,3423,10.5,1126,18.0,813,17.4,69781
13,229,GA,Pierce County,3196,16.5,1130,24.0,786,22.8,51696
13,231,GA,Pike County,1902,10.1,544,12.5,405,12.1,64986
13,233,GA,Polk County,6912,16.3,2402,22.6,1786,23.0,51040
13,235,GA,Pulaski County,2027,20.4,547,27.6,407,27.0,44019
13,237,GA,Putnam County,3648,16.3,1181,27.3,832,26.0,56104
13,239,GA,Quitman County,523,23.1,164,40.3,119,41.2,37735
13,241,GA,Rabun County,2341,13.8,618,22.6,434,22.7,53038
13,243,GA,Randolph County,1749,27.4,517,38.9,377,37.1,36064
13,245,GA,Richmond County,48382,25.5,17159,38.7,12061,38.8,43942
13,247,GA,Rockdale County,11464,12.7,4414,20.5,3100,18.9,61332
13,249,GA,Schley County,779,15.0,263,21.8,190,20.1,53163
13,251,GA,Screven County,2793,20.7,838,30.5,628,32.7,44061
13,253,GA,Seminole County,1832,22.9,545,34.2,394,33.1,41778
13,255,GA,Spalding County,11835,17.9,3965,25.6,2963,26.5,51019
13,257,GA,Stephens County,4297,16.9,1316,22.9,923,22.2,46626
13,259,GA,Stewart County,1561,31.3,214,31.6,156,31.0,40205
13,261,GA,Sumter County,6726,24.3,2363,36.4,1592,33.6,42653
13,263,GA,Talbot County,1274,20.8,351,35.9,259,37.0,44458
13,265,GA,Taliaferro County,362,23.2,87,33.2,67,36.2,28004
13,267,GA,Tattnall County,4330,20.7,1426,28.1,1018,26.5,45191
13,269,GA,Taylor County,1831,23.2,513,32.5,372,32.3,38783
13,271,GA,Telfair County,3774,29.9,801,32.8,573,31.7,38161
13,273,GA,Terrell County,2287,27.8,861,45.0,608,42.6,39433
13,275,GA,Thomas County,7072,16.2,2433,23.6,1704,22.5,57969
13,277,GA,Tift County,7999,20.5,2962,29.9,2128,29.6,45093
13,279,GA,Toombs County,5919,22.2,2311,33.2,1623,31.9,42165
